Run,Phase1Before,Phase1After,Phase2After,BWT,Ak,P1MacroF1,P2MacroF1,Classes,Features
ToN-IoT / Mamba+KAN No-EWC,98.4590909090909,66.16818181818182,95.03111758474576,-32.29090909090909,80.59964970146379,49.50659400420443,86.24631583436091,10,35
ToN-IoT / Mamba+KAN EWC(0.2),98.4590909090909,66.55,96.52740995762711,-31.90909090909091,81.53870497881356,50.341281997345824,88.00098884310398,10,35
ToN-IoT / Mamba+KAN EWC(1),98.4590909090909,67.20454545454545,92.73371292372882,-31.254545454545458,79.96912918913713,52.04031799198795,83.75282448343509,10,35
ToN-IoT / Mamba+KAN EWC(5),98.4590909090909,64.5090909090909,92.83633474576271,-33.95,78.6727128274268,52.55759231484154,84.63436818538463,10,35
